date,sentiment,source,subject,text,title,url,,,,,,
2023/12/19 6:40,"{'class': 'negative', 'polarity': -0.1, 'subjectivity': 0.6}",CryptoNews,altcoin,Grayscale CEO Michael Sonnenshein believes the SEC needs to approve spot Bitcoin exchange-traded funds (ETFs) simultaneously.,Grayscale CEO Calls for Simultaneous Approval of Spot Products to Level the Field,https://cryptonews.comhttps://cryptonews.com/news/grayscale-ceo-calls-for-simultaneous-approval-of-spot-products-to-level-the-field.htm,,,,,,
2023/12/19 6:03,"{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.0}",CryptoNews,blockchain,"In an exclusive interview with CryptoNews, Manhar Garegrat, the Country Head for India and Global Partnerships of Liminal Custody, shares insights into crypto industry's collaborations with India government.",Indian Government is Actively Collaborating With Crypto Industry: Liminal Custody‚Äôs Country Head,https://cryptonews.comhttps://cryptonews.com/news/indian-government-is-actively-collaborating-with-crypto-industry.htm,,,,,,
2023/12/19 5:55,"{'class': 'positive', 'polarity': 0.05, 'subjectivity': 0.05}",CryptoNews,blockchain,"According to the Federal Court ruling on December 18, former Binance CEO Changpeng 'CZ' Zhao has been ordered to pay $150 million, while Binance will pay $2.7 billion to conclude the CFTC enforcement action.","Judge Approves Settlement: Binance to Pay $1.5 Billion to CFTC, CZ to Pay $150 Million Fine",https://cryptonews.comhttps://cryptonews.com/news/judge-approves-settlement-binance-to-pay-1-5-billion-to-cftc-cz-to-pay-150-million-fine.htm,,,,,,
2023/12/19 5:35,"{'class': 'positive', 'polarity': 0.5, 'subjectivity': 0.9}",CoinTelegraph,blockchain,"Some suggest EVM inscriptions are the latest way for retail to access low-cap coins, while others argue it‚Äôs an over-hyped fad. Whatever it is, it‚Äôs clogging up the blockchain.",Why a gold rush for inscriptions has broken half a dozen blockchains,https://cointelegraph.com/news/inscriptions-evm-frenzy-clogs-up-blockchains,,,,,,
2023/12/19 5:31,"{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.0}",CoinTelegraph,ethereum,A decision by bloXroute Labs to start censoring OFAC-sanctioned blocks has been seen as a loss for Ethereum censorship resistance.,‚ÄòConcerning precedent‚Ä?‚Ä?bloXroute Labs' MEV relays to reject OFAC blocks,https://cointelegraph.com/news/concerning-precedent-bloxroute-labs-mev-relays-to-reject-ofac-blocks,,,,,,
2023/12/19 5:25,"{'class': 'negative', 'polarity': -0.01, 'subjectivity': 0.38}",CryptoPotato,bitcoin,"Yonsei found that during BTC‚Äôs rally in early December, the Binary CDD was also active, signaling recent activity by short-term holders.",Is This Why Bitcoin‚Äôs Price Rally Was Halted? (CryptoQuant),https://cryptopotato.com/is-this-why-bitcoins-price-rally-was-halted-cryptoquant/,,,,,,
2023/12/19 4:50,"{'class': 'positive', 'polarity': 0.3, 'subjectivity': 0.1}",CryptoNews,bitcoin,"Cathie Wood led ARK Invest fund sold around 809, 441 Grayscale Bitcoin Trust (GBTC) shares worth $27.6 million on Monday.",Cathie Wood‚Äôs Ark Invest Sells $27.6 Million in GBTC Shares as Bitcoin Touches $43K Again,https://cryptonews.comhttps://cryptonews.com/news/cathie-wood-ark-invest-sells-27-6-million-in-gbtc-shares.htm,,,,,,
2023/12/19 4:10,"{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.0}",CryptoPotato,bitcoin,Bitcoin's 150% surge pales in comparison to the staggering 266% return of listed mining companies and crypto firms like Coinbase.,Bitcoin Soared 150% in 2023 But These Companies Did Even Better: Matrixport,https://cryptopotato.com/bitcoin-soared-150-in-2023-but-these-companies-did-even-better-matrixport/,,,,,,
2023/12/19 4:00,"{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.0}",CryptoNews,blockchain,"The South Korean city of Busan is edging closer to the launch of a long-awaited blockchain-powered digital assets trading platform, and has named a preferred bidder.",South Korean City Busan Names Digital Exchange Preferred Bidder,https://cryptonews.comhttps://cryptonews.com/news/south-korean-city-busan-names-digital-exchange-preferred-bidder.htm,,,,,,
2023/12/19 2:59,"{'class': 'negative', 'polarity': -0.08, 'subjectivity': 0.64}",CoinTelegraph,bitcoin,"The SEC has pushed back its decision on a roster of Ethereum ETFs, with the final date for a potential approval arriving in late May.","SEC delays several Ethereum ETFs, pushing final decision to May",https://cointelegraph.com/news/sec-delays-ethereum-etf-decision-spot-futures-may-final-date,,,,,,
